"proba","source"
0.24435992126475,"random"
0.31945577804175,"random"
0.217564946856931,"random"
0.251569381035139,"random"
0.262452110793704,"random"
0.20357834650725,"random"
0.276051756189556,"random"
0.203547956326061,"random"
0.223573917139917,"random"
0.291772372502117,"random"
0.32893810838331,"random"
0.264487343183091,"random"
0.236977876028167,"random"
0.246646701030825,"random"
0.265358102503564,"random"
0.269219229925472,"random"
0.304686802210094,"random"
0.226220978123472,"random"
0.321143089145083,"random"
0.269832817966691,"random"
0.254596149828944,"random"
0.347200741566778,"random"
0.339592301237639,"random"
0.317065721444366,"random"
0.302259403351158,"random"
0.300729220813281,"random"
0.283490329761694,"random"
0.319557379591839,"random"
0.253653277729629,"random"
0.267302185134583,"random"
0.253656436420417,"random"
0.297800462601339,"random"
0.314431439823056,"random"
0.266993400412194,"random"
0.266946071853167,"random"
0.260724211600306,"random"
0.199632707098971,"random"
0.227478960429728,"random"
0.278422199528106,"random"
0.30080302719749,"random"
0.276104056908085,"random"
0.258444676711263,"random"
0.194188921899386,"random"
0.318735825147042,"random"
0.305243169608837,"random"
0.25781675967318,"random"
0.241571809417464,"random"
0.284537017839444,"random"
0.237283812720833,"random"
0.302179429196472,"random"
0.295151651434461,"random"
0.258786681458861,"random"
0.302460336218028,"random"
0.21476578732072,"random"
0.284276978742611,"random"
0.290552997581397,"random"
0.246264203059694,"random"
0.247791450893528,"random"
0.241321828220971,"random"
0.390646720795222,"random"
0.266696520489456,"random"
0.249347880174333,"random"
0.323706188542764,"random"
0.243087307794333,"random"
0.239184030677171,"random"
0.217231951732986,"random"
0.263395699300697,"random"
0.318981572372332,"random"
0.229896343259528,"random"
0.271307078858322,"random"
0.243825239754621,"random"
0.333705136518056,"random"
0.276504104905722,"random"
0.305304065681028,"random"
0.296145732344343,"random"
0.215302801074892,"random"
0.303919624878939,"random"
0.318294650960556,"random"
0.296463366705194,"random"
0.257716676270429,"random"
0.248093962383139,"random"
0.291005064995543,"random"
0.314333005771581,"random"
0.349058260593333,"random"
0.249076976441917,"random"
0.297683995138634,"random"
0.240974405081639,"random"
0.302098571902491,"random"
0.272516759984933,"random"
0.241754684204464,"random"
0.278456574320286,"random"
0.294818912031667,"random"
0.243406100575398,"random"
0.272631454331895,"random"
0.22909600745656,"random"
0.316887111496739,"random"
0.175283253685694,"random"
0.223697943272069,"random"
0.272457767697292,"random"
0.239879242862833,"random"
0.26575137916075,"random"
0.250941723627972,"random"
0.259042265187619,"random"
0.22298531407742,"random"
0.25369500992621,"random"
0.2172978195753,"random"
0.274072050422222,"random"
0.260254312722829,"random"
0.278422829318078,"random"
0.217994425261194,"random"
0.269115219048194,"random"
0.314915371668083,"random"
0.252596280054134,"random"
0.295258477402222,"random"
0.250742277919056,"random"
0.298591233950556,"random"
0.248067382391008,"random"
0.304194242194259,"random"
0.262221880972691,"random"
0.285857803818625,"random"
0.299741568496944,"random"
0.257063765804728,"random"
0.319879607141558,"random"
0.26565840245545,"random"
0.233667382405222,"random"
0.269643349731871,"random"
0.274605059198318,"random"
0.263879925237222,"random"
0.270757777926139,"random"
0.242376382173519,"random"
0.252844696335429,"random"
0.262237589818075,"random"
0.210978314411125,"random"
0.215396550012472,"random"
0.311713076290339,"random"
0.2469213616332,"random"
0.214675378557472,"random"
0.272489515524444,"random"
0.255387565459369,"random"
0.259382509021575,"random"
0.311083969007528,"random"
0.297252953293344,"random"
0.277321170028144,"random"
0.292828514502083,"random"
0.321874967837972,"random"
0.260198213171543,"random"
0.295288737042028,"random"
0.344083847413278,"random"
0.221860339921169,"random"
0.254696229697917,"random"
0.304034518938194,"random"
0.269636846290344,"random"
0.294837523818353,"random"
0.263056501923861,"random"
0.29858469053975,"random"
0.267791931555333,"random"
0.228392213151944,"random"
0.251309454811667,"random"
0.228325408574562,"random"
0.207224236168889,"random"
0.259144356488944,"random"
0.242550857295972,"random"
0.2894970677195,"random"
0.265581835390139,"random"
0.284265054039434,"random"
0.296885488473056,"random"
0.224659771973778,"random"
0.270388803948778,"random"
0.251811484975192,"random"
0.228869017705972,"random"
0.268994035794278,"random"
0.234693275344068,"random"
0.281516987377233,"random"
0.249265832525519,"random"
0.300297177317389,"random"
0.28194488787235,"random"
0.26271971585232,"random"
0.240057946800722,"random"
0.278271637820106,"random"
0.219086012982472,"random"
0.26014638593763,"random"
0.274592801458233,"random"
0.291949658325222,"random"
0.293809849288911,"random"
0.330341757029306,"random"
0.276191306808919,"random"
0.276950829387321,"random"
0.232271647419862,"random"
0.370895014591278,"random"
0.309049135712712,"random"
0.242174926637944,"random"
0.159263976017222,"random"
0.259472992658092,"random"
0.271600042260833,"random"
0.202889256112564,"random"
0.357323340827157,"random"
0.259785789479198,"random"
0.197785607338528,"random"
0.244979459738867,"random"
0.264693666964472,"random"
0.266826216013792,"random"
0.293290111360417,"random"
0.264559062130236,"random"
0.2626132415817,"random"
0.318273375517049,"random"
0.211254241861083,"random"
0.285277582509472,"random"
0.316444926803536,"random"
0.218719342277306,"random"
0.299069641244486,"random"
