"id","mean_prob","new_targs"
122,0.08500976478,"no"
123,0.478807598,"no"
124,0.1937893932,"no"
125,0.2441420114,"no"
126,0.1241433885,"no"
127,0.39983016287,"no"
128,0.201320634,"no"
129,0.366449014,"no"
130,0.3331721475,"no"
131,0.15961906138,"no"
132,0.1165963493,"no"
133,0.40789911652,"no"
134,0.12398792338,"no"
135,0.23575677994,"no"
136,0.26474456272,"no"
137,0.157229016295,"no"
138,0.12031078746,"no"
139,0.84230816,"no"
140,0.0586165495,"no"
141,0.2883538103,"no"
142,0.2560295913,"no"
143,0.275995759,"no"
144,0.2317684695,"no"
145,0.4136275912,"no"
146,0.09884457117,"no"
147,0.0933084439,"no"
148,0.2191256466,"no"
149,0.1514749897,"no"
150,0.17228427234,"no"
151,0.044596238382,"no"
152,0.25206166136,"no"
153,0.098995229894,"no"
154,0.1083910348,"no"
155,0.05064065064,"no"
156,0.2090957431,"no"
157,0.242184917,"no"
158,0.36522896,"no"
159,0.17791995955,"no"
160,0.449492626077,"no"
161,0.26881117397,"no"
162,0.433801813,"no"
163,0.061819983,"no"
164,0.04118957178,"no"
165,0.0984986998,"no"
166,0.28367601674,"no"
167,0.4100517388,"no"
168,0.3345470852,"no"
169,0.3692149136,"no"
170,0.02602379402,"no"
171,0.124375741501,"no"
172,0.69433562559,"no"
173,0.7009457084,"no"
174,0.3528119766,"no"
175,0.518912433,"no"
176,0.6000328844,"no"
177,0.957667129,"no"
178,0.07906422,"no"
179,0.219914027,"no"
180,0.142245154,"no"
181,0.560459273,"no"
182,0.299428686,"no"
183,0.711525236,"no"
184,0.336697178,"no"
185,0.8735361153,"no"
186,0.63666371304,"no"
187,0.660600716,"no"
188,0.509459645,"no"
189,0.721469912,"no"
190,0.0750297076,"no"
191,0.3942233294,"no"
192,0.46659505266,"no"
193,0.309720174,"no"
194,0.18670619659,"no"
195,0.71574713,"no"
196,0.962194644,"no"
197,0.2076577618,"no"
198,0.157290887,"no"
199,0.492226279,"no"
200,0.1439037867,"no"
201,0.2997607897,"no"
202,0.6539155026,"no"
203,0.7080831285,"no"
204,0.2571227295,"no"
205,0.34021063628,"no"
206,0.4383036385,"no"
207,0.1043486844,"no"
208,0.0953423867,"no"
209,0.17091993417,"no"
210,0.125259163,"no"
211,0.1461190055,"no"
212,0.1251416427,"no"
213,0.2256230735,"no"
214,0.37060432421,"no"
215,0.351129459,"no"
216,0.1783716151,"no"
217,0.235243477,"no"
218,0.19651410772,"no"
219,0.09029068554,"no"
220,0.0611788107,"no"
221,0.047287235745,"no"
222,0.386161523,"no"
223,0.1179445267,"no"
224,0.065655601073,"no"
225,0.0901387338,"no"
226,0.2880517645,"no"
227,0.13128885117,"no"
228,0.2416116346,"no"
229,0.747745973,"no"
230,0.2621913501,"no"
231,0.196694341,"no"
232,0.2705262766,"no"
233,0.0980460754,"no"
234,0.1021818563,"no"
235,0.231642441,"no"
236,0.1068988536,"no"
237,0.206447354,"no"
238,0.761520914,"no"
239,0.30784158019,"no"
240,0.06753679152,"no"
241,0.1809832794,"no"
242,0.18108233815,"no"
243,0.7288428773,"no"
244,0.0997316976,"no"
245,0.1857680096,"no"
246,0.1796456832,"no"
247,0.1126826965,"no"
248,0.3571099178,"no"
249,0.59958729253,"no"
250,0.07850166841,"no"
251,0.206586408,"no"
252,0.2054047455,"no"
253,0.0865009085,"no"
254,0.31640717164,"no"
255,0.2142166569,"no"
256,0.1989441722,"no"
257,0.25106062602,"no"
258,0.1246839354,"no"
259,0.2941569848,"no"
260,0.1473986173,"yes"
261,0.832552268,"yes"
262,0.2092236264,"yes"
263,0.13616579306421,"no"
264,0.07049944844,"no"
265,0.182523879,"no"
266,0.2985874725,"no"
267,0.4711075627,"no"
268,0.1615032697,"no"
269,0.0496243761,"no"
270,0.017698279746,"no"
