"CV_fold","feature","auc","set"
0,"GiG",0.686290888435965,"Perm"
0,"GiG",0.709011326806776,"Perm"
0,"GiG",0.706705870560326,"Perm"
0,"GiG",0.698954191586755,"Perm"
0,"GiG",0.734638644792676,"Perm"
0,"GiG",0.693240669584684,"Perm"
0,"GiG",0.656052657957165,"Perm"
0,"GiG",0.70486818804504,"Perm"
0,"GiG",0.72588459353804,"Perm"
0,"GiG",0.695011527281232,"Perm"
0,"GiG",0.688897056366735,"Perm"
0,"GiG",0.700223863142771,"Perm"
0,"GiG",0.686558187710916,"Perm"
0,"GiG",0.726886965819105,"Perm"
0,"GiG",0.682481873767917,"Perm"
0,"GiG",0.675765979484781,"Perm"
0,"GiG",0.684620267967523,"Perm"
0,"GiG",0.723612549700959,"Perm"
0,"GiG",0.705603261051154,"Perm"
0,"GiG",0.704667713588827,"Perm"
0,"GiG",0.684152494236359,"Perm"
0,"GiG",0.719135286845534,"Perm"
0,"GiG",0.689832603829062,"Perm"
0,"GiG",0.69882054194928,"Perm"
0,"GiG",0.704133115038926,"Perm"
0,"GiG",0.718233151792576,"Perm"
0,"GiG",0.702395669751746,"Perm"
0,"GiG",0.69938855290855,"Perm"
0,"GiG",0.732600487821177,"Perm"
0,"GiG",0.726953790637843,"Perm"
0,"GiG",0.699722677002239,"Perm"
0,"GiG",0.692371946941094,"Perm"
0,"GiG",0.662935614287146,"Perm"
0,"GiG",0.682949647499081,"Perm"
0,"GiG",0.70226202011427,"Perm"
0,"GiG",0.704233352267032,"Perm"
0,"GiG",0.68328377159277,"Perm"
0,"GiG",0.705168899729359,"Perm"
0,"GiG",0.726886965819105,"Perm"
0,"GiG",0.693775268134585,"Perm"
0,"GiG",0.656921380600755,"Perm"
0,"GiG",0.698085468943165,"Perm"
0,"GiG",0.679407932105984,"Perm"
0,"GiG",0.708075779344449,"Perm"
0,"GiG",0.694710815596913,"Perm"
0,"GiG",0.700223863142771,"Perm"
0,"GiG",0.707608005613285,"Perm"
0,"GiG",0.72214240368873,"Perm"
0,"GiG",0.669350796885963,"Perm"
0,"GiG",0.704500651541983,"Perm"
0,"GiG",0.706739282969695,"Perm"
0,"GiG",0.70430017708577,"Perm"
0,"GiG",0.672959337097798,"Perm"
0,"GiG",0.706739282969695,"Perm"
0,"GiG",0.664639647164957,"Perm"
0,"GiG",0.693173844765946,"Perm"
0,"GiG",0.719770122623542,"Perm"
0,"GiG",0.718166326973838,"Perm"
0,"GiG",0.70891108957867,"Perm"
0,"GiG",0.690200140332119,"Perm"
0,"GiG",0.705068662501253,"Perm"
0,"GiG",0.680143005112099,"Perm"
0,"GiG",0.646162584783989,"Perm"
0,"GiG",0.704667713588827,"Perm"
0,"GiG",0.735540779845635,"Perm"
0,"GiG",0.707942129706973,"Perm"
0,"GiG",0.689565304554111,"Perm"
0,"GiG",0.685923351932908,"Perm"
0,"GiG",0.705035250091884,"Perm"
0,"GiG",0.672424738547897,"Perm"
0,"GiG",0.712486217381135,"Perm"
0,"GiG",0.688529519863677,"Perm"
0,"GiG",0.704600888770089,"Perm"
0,"GiG",0.691837348391192,"Perm"
0,"GiG",0.719569648167329,"Perm"
0,"GiG",0.688228808179358,"Perm"
0,"GiG",0.662467840555982,"Perm"
0,"GiG",0.719001637208059,"Perm"
0,"GiG",0.716328644458552,"Perm"
0,"GiG",0.717030305055298,"Perm"
0,"GiG",0.691269337431922,"Perm"
0,"GiG",0.688362457816833,"Perm"
0,"GiG",0.675765979484781,"Perm"
0,"GiG",0.707641418022654,"Perm"
0,"GiG",0.685889939523539,"Perm"
0,"GiG",0.638177018944836,"Perm"
0,"GiG",0.706171272010425,"Perm"
0,"GiG",0.6760666911691,"Perm"
0,"GiG",0.659761435397106,"Perm"
0,"GiG",0.703932640582712,"Perm"
0,"GiG",0.720906144542083,"Perm"
0,"GiG",0.653513314845134,"Perm"
0,"GiG",0.699555614955394,"Perm"
0,"GiG",0.708810852350563,"Perm"
0,"GiG",0.683150121955294,"Perm"
0,"GiG",0.676902001403321,"Perm"
0,"GiG",0.688796819138628,"Perm"
0,"GiG",0.706672458150957,"Perm"
0,"GiG",0.684653680376892,"Perm"
0,"GiG",0.683384008820876,"Perm"
0,"GiG",0.683450833639614,"Perm"
0,"GiG",0.650673260048782,"Perm"
0,"GiG",0.660128971900164,"Perm"
0,"GiG",0.731765177586956,"Perm"
0,"GiG",0.71609475759297,"Perm"
0,"GiG",0.717397841558355,"Perm"
0,"GiG",0.685255103745531,"Perm"
0,"GiG",0.75007517792108,"Perm"
0,"GiG",0.721975341641886,"Perm"
0,"GiG",0.715292859768118,"Perm"
0,"GiG",0.685689465067326,"Perm"
0,"GiG",0.686658424939022,"Perm"
0,"GiG",0.692472184169201,"Perm"
0,"GiG",0.680610778843262,"Perm"
0,"GiG",0.723245013197902,"Perm"
0,"GiG",0.717665140833305,"Perm"
0,"GiG",0.658625413478566,"Perm"
0,"GiG",0.704166527448294,"Perm"
0,"GiG",0.689866016238431,"Perm"
0,"GiG",0.704233352267032,"Perm"
0,"GiG",0.697350395937051,"Perm"
0,"GiG",0.710080523906579,"Perm"
0,"GiG",0.71061512245648,"Perm"
0,"GiG",0.669317384476595,"Perm"
0,"GiG",0.729793845434194,"Perm"
0,"GiG",0.710164054930001,"Perm"
0,"GiG",0.683317184002138,"Perm"
0,"GiG",0.735006181295733,"Perm"
0,"GiG",0.704433826723245,"Perm"
0,"GiG",0.719168699254903,"Perm"
0,"GiG",0.668214774967423,"Perm"
0,"GiG",0.716763005780347,"Perm"
0,"GiG",0.640616124828761,"Perm"
0,"GiG",0.67319322396338,"Perm"
0,"GiG",0.700591399645829,"Perm"
0,"GiG",0.692138060075512,"Perm"
0,"GiG",0.685555815429851,"Perm"
0,"GiG",0.701293060242574,"Perm"
0,"GiG",0.722276053326205,"Perm"
0,"GiG",0.73223295131812,"Perm"
0,"GiG",0.67780413645628,"Perm"
0,"GiG",0.703364629623442,"Perm"
0,"GiG",0.703832403354606,"Perm"
0,"GiG",0.693975742590798,"Perm"
0,"GiG",0.691102275385078,"Perm"
0,"GiG",0.686257476026596,"Perm"
0,"GiG",0.710481472819005,"Perm"
0,"GiG",0.718266564201945,"Perm"
0,"GiG",0.658157639747402,"Perm"
0,"GiG",0.673460523238331,"Perm"
0,"GiG",0.71753149119583,"Perm"
0,"GiG",0.698686892311805,"Perm"
0,"GiG",0.691369574660029,"Perm"
0,"GiG",0.729092184837449,"Perm"
0,"GiG",0.693808680543954,"Perm"
0,"GiG",0.698453005446223,"Perm"
0,"GiG",0.693675030906479,"Perm"
0,"GiG",0.709712987403522,"Perm"
0,"GiG",0.666109793177186,"Perm"
0,"GiG",0.653546727254502,"Perm"
0,"GiG",0.649236526445922,"Perm"
0,"GiG",0.702429082161115,"Perm"
0,"GiG",0.689264592869792,"Perm"
0,"GiG",0.665508369808547,"Perm"
0,"GiG",0.729526546159244,"Perm"
0,"GiG",0.71004711149721,"Perm"
0,"GiG",0.712051856059341,"Perm"
0,"GiG",0.694911290053126,"Perm"
0,"GiG",0.706839520197801,"Perm"
0,"GiG",0.707708242841391,"Perm"
0,"GiG",0.696682147749674,"Perm"
0,"GiG",0.690634501653914,"Perm"
0,"GiG",0.697016271843363,"Perm"
0,"GiG",0.672708744027532,"Perm"
0,"GiG",0.697183333890207,"Perm"
0,"GiG",0.703331217214073,"Perm"
0,"GiG",0.705135487319991,"Perm"
0,"GiG",0.739884393063584,"Perm"
0,"GiG",0.672424738547897,"Perm"
0,"GiG",0.742557385813091,"Perm"
0,"GiG",0.696381436065355,"Perm"
0,"GiG",0.659995322262688,"Perm"
0,"GiG",0.678138260549968,"Perm"
0,"GiG",0.70861037789435,"Perm"
0,"GiG",0.705569848641786,"Perm"
0,"GiG",0.689465067326005,"Perm"
0,"GiG",0.687460322763874,"Perm"
0,"GiG",0.701894483611213,"Perm"
0,"GiG",0.730762805305891,"Perm"
0,"GiG",0.731798589996325,"Perm"
0,"GiG",0.68154632630559,"Perm"
0,"GiG",0.707106819472752,"Perm"
0,"GiG",0.654382037488723,"Perm"
0,"GiG",0.734204283470881,"Perm"
0,"GiG",0.717397841558355,"Perm"
0,"GiG",0.699722677002239,"Perm"
0,"GiG",0.693006782719102,"Perm"
0,"GiG",0.652410705335962,"Perm"
0,"GiG",0.696281198837248,"Perm"
0,"GiG",0.682582110996024,"Perm"
0,"GiG",0.679508169334091,"Perm"
0,"GiG",0.737512111998396,"Perm"
0,"GiG",0.708710615122456,"Perm"
0,"GiG",0.670219519529553,"Perm"
0,"GiG",0.676601289719002,"Perm"
0,"GiG",0.707674830432022,"Perm"
0,"GiG",0.650639847639413,"Perm"
0,"GiG",0.719202111664272,"Perm"
0,"GiG",0.728156637375121,"Perm"
0,"GiG",0.694911290053126,"Perm"
0,"GiG",0.740686290888436,"Perm"
0,"GiG",0.624912292425407,"Perm"
0,"GiG",0.687761034448194,"Perm"
0,"GiG",0.698920779177386,"Perm"
0,"GiG",0.665274482942965,"Perm"
0,"GiG",0.691570049116242,"Perm"
0,"GiG",0.719302348892379,"Perm"
0,"GiG",0.675866216712887,"Perm"
0,"GiG",0.680744428480738,"Perm"
0,"GiG",0.690901800928865,"Perm"
0,"GiG",0.685388753383007,"Perm"
0,"GiG",0.683784957733302,"Perm"
0,"GiG",0.675632329847305,"Perm"
0,"GiG",0.658992949981623,"Perm"
0,"GiG",0.678906745965452,"Perm"
0,"GiG",0.727688863643957,"Perm"
0,"GiG",0.724982458485081,"Perm"
0,"GiG",0.710882421731431,"Perm"
0,"GiG",0.709813224631628,"Perm"
0,"GiG",0.692572421397307,"Perm"
0,"GiG",0.714490961943266,"Perm"
0,"GiG",0.712820341474824,"Perm"
0,"GiG",0.701794246383107,"Perm"
0,"GiG",0.727922750509539,"Perm"
0,"GiG",0.742724447859935,"Perm"
0,"GiG",0.669985632663971,"Perm"
0,"GiG",0.676801764175215,"Perm"
0,"GiG",0.682949647499081,"Perm"
0,"GiG",0.697550870393264,"Perm"
0,"GiG",0.719502823348592,"Perm"
0,"GiG",0.681947275218016,"Perm"
0,"GiG",0.733435798055398,"Perm"
0,"GiG",0.728423936650072,"Perm"
0,"GiG",0.683350596411507,"Perm"
0,"GiG",0.693240669584684,"Perm"
0,"GiG",0.701627184336262,"Perm"
0,"GiG",0.675131143706773,"Perm"
0,"GiG",0.738915433191887,"Perm"
0,"GiG",0.681312439440008,"Perm"
0,"GiG",0.709880049450366,"Perm"
0,"GiG",0.680610778843262,"Perm"
0,"GiG",0.722543352601156,"Perm"
0,"GiG",0.702295432523639,"Perm"
0,"GiG",0.744996491697016,"Perm"
0,"GiG",0.648935814761602,"Perm"
0,"GiG",0.713288115205988,"Perm"
0,"GiG",0.723913261385278,"Perm"
0,"GiG",0.699421965317919,"Perm"
0,"GiG",0.687660797220088,"Perm"
0,"GiG",0.733502622874135,"Perm"
0,"GiG",0.696615322930937,"Perm"
0,"GiG",0.723111363560426,"Perm"
0,"GiG",0.680744428480738,"Perm"
0,"GiG",0.725717531491196,"Perm"
0,"GiG",0.725918005947409,"Perm"
0,"GiG",0.681713388352434,"Perm"
0,"GiG",0.698686892311805,"Perm"
0,"GiG",0.662334190918507,"Perm"
0,"GiG",0.658023990109927,"Perm"
0,"GiG",0.693875505362692,"Perm"
0,"GiG",0.691302749841291,"Perm"
0,"GiG",0.715660396271175,"Perm"
0,"GiG",0.67780413645628,"Perm"
